data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-08-20 09:52:33.462351;0;Salvador;Francisco José;SmartTV OLED 4k TCL;Derek Caster;masculino;boleto
2025-08-20 12:51:35.847813;1;Natal;João Pedro;PlayStation 5;Mable Trimble;feminino;cartão de crédito
2025-08-20 15:07:34.270587;2;Fortaleza;Matheus Pereira;Smartwatch QCY;Denise Hammons;feminino;cartão de crédito
2025-08-20 17:40:32.809265;3;Salvador;Francisco José;Smartwatch QCY;Julio Brenton;masculino;cartão de crédito
2025-08-21 12:32:32.692153;4;Fortaleza;Ana Oliveira;Geladeira Eletrolux;Mattie Peterson;feminino;pix
2025-08-21 12:56:35.060999;5;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Tyrone Gales;masculino;cartão de crédito
2025-08-21 13:32:32.202038;6;Salvador;Carla Montenegro;Smartphone Samsung Galaxy;Ronald Desrochers;masculino;boleto
2025-08-21 15:20:35.052373;7;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Dianne Walker;feminino;boleto
2025-08-21 17:44:32.958298;8;Natal;Clara Neves;Smartphone Samsung Galaxy;Lauren Crawford;feminino;pix
2025-08-21 17:49:35.009890;9;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Jonathan Reeves;masculino;pix
2025-08-22 13:22:35.444280;10;Salvador;Carla Montenegro;PlayStation 5;Christina Teague;feminino;cartão de crédito
2025-08-22 15:18:32.364148;11;Recife;Fernanda Costa;SmartTV OLED 4k TCL;Elisabeth Levine;feminino;dinheiro
2025-08-22 16:23:36.322361;12;Natal;Clara Neves;Smartphone Samsung Galaxy;Travis Alberson;masculino;dinheiro
2025-08-23 11:15:33.129385;13;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Jill Bello;feminino;cartão de crédito
2025-08-24 10:29:32.244792;14;São Paulo;Floriana Peixoto;Smartwatch QCY;Jody Pensinger;masculino;cartão de crédito
2025-08-24 10:47:33.049847;15;Fortaleza;Ana Oliveira;PlayStation 5;Rodney Paul;masculino;cartão de crédito
2025-08-24 13:57:32.211743;16;Salvador;Carla Montenegro;SmartTV OLED 4k TCL;Robert Bench;masculino;pix
2025-08-24 15:19:33.090179;17;Recife;Carlos Silva;PlayStation 5;Frank Whitlock;masculino;boleto
2025-08-24 16:42:34.642425;18;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Larry Smith;masculino;dinheiro
2025-08-24 16:45:33.642001;19;Recife;Carlos Silva;Smartwatch QCY;Robert Hoey;masculino;pix
2025-08-24 19:18:35.700949;20;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Sharla Macdonald;feminino;pix
2025-08-24 19:44:32.161966;21;Salvador;Carla Montenegro;SmartTV OLED 4k TCL;Elizabeth Mashaw;feminino;boleto
2025-08-24 20:11:35.570866;22;Natal;João Pedro;Smartphone Samsung Galaxy;Mark Hudson;masculino;pix
2025-08-24 20:40:36.440803;23;Fortaleza;Matheus Pereira;Geladeira Eletrolux;Ron Chandler;masculino;cartão de crédito
2025-08-25 10:41:32.205478;24;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Colin Perry;masculino;pix
2025-08-25 12:39:34.690328;25;Fortaleza;Ana Oliveira;Smartwatch QCY;John Anderson;masculino;cartão de crédito
2025-08-25 14:54:32.878645;26;Recife;Carlos Silva;Smartphone Samsung Galaxy;Robert Smith;masculino;cartão de crédito
